# r   PMF(r)   Fit(r)
21.975000  -0.302602  -0.300784
22.000000  -0.302170  -0.300357
22.025000  -0.301738  -0.299931
22.050000  -0.301308  -0.299505
22.075000  -0.300878  -0.299081
22.100000  -0.300449  -0.298658
22.125000  -0.300022  -0.298235
22.150000  -0.299595  -0.297814
22.175000  -0.299169  -0.297394
22.200000  -0.298744  -0.296975
22.225000  -0.298320  -0.296556
22.250000  -0.297898  -0.296139
22.275000  -0.297476  -0.295722
22.300000  -0.297055  -0.295307
22.325000  -0.296635  -0.294892
22.350000  -0.296216  -0.294479
22.375000  -0.295798  -0.294066
22.400000  -0.295381  -0.293654
